time,sgReading
16/01/16 00:23:06,4.888889
16/01/16 00:28:06,4.944444
16/01/16 00:33:06,4.944444
16/01/16 00:38:06,5
16/01/16 00:43:06,5
16/01/16 00:48:06,5
16/01/16 00:53:06,4.888889
16/01/16 00:58:06,4.944444
16/01/16 01:03:06,4.944444
16/01/16 01:08:06,4.833333
16/01/16 01:13:06,4.888889
16/01/16 01:18:06,5.222222
16/01/16 01:23:06,5
16/01/16 01:28:06,4.944444
16/01/16 01:33:06,4.833333
16/01/16 01:38:06,4.833333
16/01/16 01:43:06,4.777778
16/01/16 01:48:06,4.888889
16/01/16 01:53:06,4.944444
16/01/16 01:58:06,4.944444
16/01/16 02:03:06,4.944444
16/01/16 02:08:06,5
16/01/16 02:13:06,5
16/01/16 02:18:05,4.833333
16/01/16 02:23:06,4.777778
16/01/16 02:28:05,4.777778
16/01/16 02:33:05,4.722222
16/01/16 02:38:05,4.722222
16/01/16 02:43:05,4.666667
16/01/16 02:48:05,4.611111
16/01/16 02:53:05,4.722222
16/01/16 02:58:05,4.722222
16/01/16 03:03:05,4.722222
16/01/16 03:08:05,4.722222
16/01/16 03:13:05,4.777778
16/01/16 03:18:05,4.722222
16/01/16 03:23:05,4.722222
16/01/16 03:28:05,4.611111
16/01/16 03:33:05,4.111111
16/01/16 03:38:05,4
16/01/16 03:43:05,3.944444
16/01/16 03:48:05,4
16/01/16 03:53:05,4.055556
16/01/16 03:58:05,4.111111
16/01/16 04:03:05,4.111111
16/01/16 04:08:05,4.166667
16/01/16 04:13:05,4.111111
16/01/16 04:18:05,4.111111
16/01/16 04:23:05,4.111111
16/01/16 04:28:05,4.055556
16/01/16 04:33:05,4.722222
16/01/16 04:38:05,4.444444
16/01/16 04:43:05,4.722222
16/01/16 04:48:05,5.388889
16/01/16 04:53:05,4.944444
16/01/16 04:58:05,5
16/01/16 05:03:05,5.055556
16/01/16 05:08:05,5.055556
16/01/16 05:13:05,5.111111
16/01/16 05:18:05,5.111111
16/01/16 05:23:05,5.111111
16/01/16 05:28:05,5.055556
16/01/16 05:33:05,5.277778
16/01/16 05:38:05,5.222222
16/01/16 05:43:05,5.111111
16/01/16 05:48:05,4.944444
16/01/16 05:53:05,5.5
16/01/16 05:58:05,5.611111
16/01/16 06:03:05,5.555556
16/01/16 06:08:05,5.222222
16/01/16 06:13:05,4.944444
16/01/16 06:18:05,5.333333
16/01/16 06:23:05,5.222222
16/01/16 06:28:05,5.444444
16/01/16 06:33:05,5.055556
16/01/16 06:38:05,4.888889
16/01/16 06:43:05,4.722222
16/01/16 06:48:05,4.833333
16/01/16 06:53:05,4.944444
16/01/16 06:58:05,4.888889
16/01/16 07:03:05,4.888889
16/01/16 07:08:05,4.888889
16/01/16 07:13:05,4.888889
16/01/16 07:18:05,5.277778
16/01/16 07:23:04,5.5
16/01/16 07:28:04,5.388889
16/01/16 07:33:04,4.944444
16/01/16 07:38:04,4.333333
16/01/16 07:43:04,4.611111
16/01/16 07:48:04,4
16/01/16 07:53:05,3.888889
16/01/16 07:58:04,4.277778
16/01/16 08:03:04,4.333333
16/01/16 08:08:04,4.944444
16/01/16 08:13:04,5.444444
16/01/16 08:18:04,5.277778
16/01/16 08:23:04,5.166667
16/01/16 08:28:04,5.166667
16/01/16 08:33:04,5.222222
16/01/16 08:38:04,5.166667
16/01/16 08:43:04,4.222222
16/01/16 08:48:04,4.833333
16/01/16 08:53:04,4.722222
16/01/16 08:58:04,4.777778
16/01/16 09:03:04,4.888889
16/01/16 09:08:04,5.166667
16/01/16 09:13:04,5.277778
16/01/16 09:18:04,4.944444
16/01/16 09:23:04,4.666667
16/01/16 09:28:04,4.333333
16/01/16 09:33:04,4.333333
16/01/16 09:38:04,4.555556
16/01/16 09:43:04,5
16/01/16 09:48:04,5.166667
16/01/16 09:53:04,5.333333
16/01/16 09:58:04,5.333333
16/01/16 10:03:04,5.5
16/01/16 10:08:04,5.5
16/01/16 10:13:04,5.277778
16/01/16 10:18:04,5.277778
16/01/16 10:23:04,5.166667
16/01/16 10:28:04,5.055556
16/01/16 10:33:04,5.111111
16/01/16 10:38:04,4.944444
16/01/16 10:43:04,4.833333
16/01/16 10:48:04,4.833333
16/01/16 10:53:04,5.833333
16/01/16 10:58:04,5.666667
16/01/16 11:03:04,5.888889
16/01/16 11:08:04,5.722222
16/01/16 11:13:04,5.555556
16/01/16 11:18:04,5.444444
16/01/16 11:23:04,5.388889
16/01/16 11:28:04,5.277778
16/01/16 11:33:04,5.333333
16/01/16 11:38:04,5.388889
16/01/16 11:43:04,5.444444
16/01/16 11:48:04,5.666667
16/01/16 11:53:04,5.722222
16/01/16 11:58:04,5.611111
16/01/16 12:03:04,5.555556
16/01/16 12:08:04,5.388889
16/01/16 12:13:04,5.277778
16/01/16 12:18:04,5.277778
16/01/16 12:23:04,5.333333
16/01/16 12:28:03,5.388889
16/01/16 12:33:03,5.444444
16/01/16 12:38:04,5.5
16/01/16 12:43:03,5.611111
16/01/16 12:48:03,5.611111
16/01/16 12:53:03,6
16/01/16 12:58:03,6.388889
16/01/16 13:03:03,6.5
16/01/16 13:08:03,6.555556
16/01/16 13:13:03,6.611111
16/01/16 13:18:03,6.611111
16/01/16 13:23:03,6.5
16/01/16 13:28:03,6.666667
16/01/16 13:33:03,6.833333
16/01/16 13:38:03,6.722222
16/01/16 13:43:03,6.833333
16/01/16 13:48:03,6.944444
16/01/16 13:53:03,6.666667
16/01/16 13:58:03,6.666667
16/01/16 14:03:03,6.666667
16/01/16 14:08:03,6.722222
16/01/16 14:13:03,6.611111
